"","year","pnum","box_attempt","nestbox","species","clutch_size","April_lay","April_hatch","num_chicks","num_eggs_manipulated","number_fledged","adult_male","adult_female","incubation_period","test"
"3055",1965,"19651B213",1,"B213","BLUTI",14,18,44,14,NA,14,NA,"N92742",13,0
"3056",1965,"19651B215",1,"B215","BLUTI",12,20,44,8,NA,5,NA,"N34248",13,4
"3058",1965,"19651B22",1,"B22","BLUTI",12,24,48,11,NA,10,NA,"N92756",13,1
"3060",1965,"19651B222",1,"B222","BLUTI",12,24,48,NA,NA,0,NA,"N92077",13,NA
"3061",1965,"19651B224",1,"B224","BLUTI",12,28,52,12,NA,12,NA,"N43452",13,0
"3062",1965,"19651B225",1,"B225","BLUTI",10,24,46,9,NA,9,NA,"N92746",13,1
"3064",1965,"19651B227",1,"B227","BLUTI",11,37,60,NA,NA,0,NA,"N92770",13,NA
"3069",1965,"19651B29",1,"B29","BLUTI",7,37,56,6,NA,6,NA,"N92107",13,1
"3071",1965,"19651B34",1,"B34","BLUTI",12,28,52,11,NA,11,NA,"H92562",13,1
"3074",1965,"19651B4",1,"B4","BLUTI",10,20,42,NA,NA,0,NA,"N73430",13,NA
"3075",1965,"19651B42",1,"B42","BLUTI",10,30,52,NA,NA,0,NA,NA,13,NA
"3076",1965,"19651B46",1,"B46","BLUTI",11,25,48,11,NA,11,NA,"N34111",13,0
"3078",1965,"19651B51",1,"B51","BLUTI",9,25,46,8,NA,8,NA,"P30312",13,1
"3081",1965,"19651B54",1,"B54","BLUTI",12,30,54,7,NA,7,NA,"N43325",13,5
"3083",1965,"19651B56",1,"B56","BLUTI",14,20,46,14,NA,14,NA,"N34112",13,0
"3084",1965,"19651B57",1,"B57","BLUTI",8,43,63,8,NA,0,NA,"AH93109",13,0
"3085",1965,"19651B59",1,"B59","BLUTI",12,26,50,NA,NA,0,NA,"H52389",13,NA
"3088",1965,"19651B64",1,"B64","BLUTI",9,25,46,9,NA,9,NA,NA,13,0
"3090",1965,"19651B66",1,"B66","BLUTI",1,30,43,NA,NA,0,NA,NA,13,NA
"3092",1965,"19651B70",1,"B70","BLUTI",13,26,51,NA,NA,0,NA,"N43715",13,NA
"3098",1965,"19651B91",1,"B91","BLUTI",9,20,41,NA,NA,0,NA,"P20274",13,NA
"3099",1965,"19651B92",1,"B92","BLUTI",12,23,47,11,NA,0,NA,"N92725",13,1
"3102",1965,"19651B98",1,"B98","BLUTI",10,27,49,10,NA,10,NA,NA,13,0
"3104",1965,"19651C1",1,"C1","BLUTI",10,21,43,9,NA,4,NA,"N39012",13,1
"3109",1965,"19651C108",1,"C108","BLUTI",19,20,51,15,NA,0,NA,"N92174",13,4
"3111",1965,"19651C111",1,"C111","BLUTI",10,18,40,5,NA,0,NA,"N92748",13,5
"3113",1965,"19651C115",1,"C115","BLUTI",9,18,39,8,NA,8,NA,"N92578",13,1
"3114",1965,"19651C116",1,"C116","BLUTI",10,28,50,9,NA,9,NA,NA,13,1
"3117",1965,"19651C122",1,"C122","BLUTI",8,18,38,NA,NA,0,NA,"H52624",13,NA
"3118",1965,"19651C124",1,"C124","BLUTI",13,27,52,NA,NA,0,NA,"N39186",13,NA
"3120",1965,"19651C129",1,"C129","BLUTI",10,19,41,NA,NA,0,NA,NA,13,NA
"3121",1965,"19651C130",1,"C130","BLUTI",13,29,54,13,NA,0,NA,"N92151",13,0
"3123",1965,"19651C133",1,"C133","BLUTI",14,17,43,14,NA,0,NA,"N39121",13,0
"3125",1965,"19651C135",1,"C135","BLUTI",8,21,41,NA,NA,0,NA,NA,13,NA
"3126",1965,"19651C136",1,"C136","BLUTI",7,38,57,5,NA,0,NA,"N92764",13,2
"3127",1965,"19651C137",1,"C137","BLUTI",6,41,59,NA,NA,0,NA,"N92728",13,NA
"3128",1965,"19651C139",1,"C139","BLUTI",8,25,45,NA,NA,0,NA,"N92731",13,NA
"3130",1965,"19651C145",1,"C145","BLUTI",12,20,44,11,NA,0,NA,"N73226",13,1
"3133",1965,"19651C148",1,"C148","BLUTI",11,38,61,NA,NA,0,NA,"P20823",13,NA
"3135",1965,"19651C150",1,"C150","BLUTI",13,17,42,12,NA,0,NA,"N43679",13,1
"3137",1965,"19651C152",1,"C152","BLUTI",7,28,47,6,NA,0,NA,"N92747",13,1
"3140",1965,"19651C155",1,"C155","BLUTI",4,18,34,NA,NA,0,NA,NA,13,NA
"3141",1965,"19651C156",1,"C156","BLUTI",12,22,46,4,NA,0,NA,"N92727",13,8
"3144",1965,"19651C19",1,"C19","BLUTI",6,17,35,6,NA,0,NA,"N34660",13,0
"3145",1965,"19651C2",1,"C2","BLUTI",1,40,53,NA,NA,0,NA,NA,13,NA
"3146",1965,"19651C20",1,"C20","BLUTI",6,42,60,3,NA,0,NA,NA,13,3
"3149",1965,"19651C25",1,"C25","BLUTI",3,26,41,NA,NA,0,NA,"N82728",13,NA
"3150",1965,"19651C28",1,"C28","BLUTI",8,34,54,NA,NA,0,NA,NA,13,NA
"3152",1965,"19651C3",1,"C3","BLUTI",11,18,41,NA,NA,0,NA,NA,13,NA
"3153",1965,"19651C30",1,"C30","BLUTI",7,20,39,NA,NA,0,NA,NA,13,NA
"3155",1965,"19651C34A",1,"C34A","BLUTI",11,26,49,9,NA,0,NA,NA,13,2
"3156",1965,"19651C38",1,"C38","BLUTI",15,19,46,6,NA,0,NA,"N92730",13,9
"3161",1965,"19651C47",1,"C47","BLUTI",8,21,41,NA,NA,0,NA,NA,13,NA
"3162",1965,"19651C5",1,"C5","BLUTI",11,26,49,NA,NA,0,NA,"N43703",13,NA
"3167",1965,"19651C58",1,"C58","BLUTI",12,24,48,10,NA,10,NA,"N73422",13,2
"3170",1965,"19651C63",1,"C63","BLUTI",10,25,47,NA,NA,0,NA,NA,13,NA
"3175",1965,"19651CP18",1,"CP18","BLUTI",10,32,54,NA,NA,0,NA,"N92413",13,NA
"3176",1965,"19651CP2",1,"CP2","BLUTI",10,26,48,NA,NA,0,NA,NA,13,NA
"3180",1965,"19651CP25",1,"CP25","BLUTI",12,16,40,11,NA,0,NA,"P20234",13,1
"3181",1965,"19651CP26",1,"CP26","BLUTI",11,20,43,11,NA,0,NA,"N92223",13,0
"3186",1965,"19651CP4",1,"CP4","BLUTI",5,37,54,NA,NA,0,NA,NA,13,NA
"3187",1965,"19651CP40",1,"CP40","BLUTI",11,19,42,11,NA,0,NA,"N82089",13,0
"3196",1965,"19651EX13",1,"EX13","BLUTI",13,29,54,8,NA,0,NA,NA,13,5
"3197",1965,"19651EX13A",1,"EX13A","BLUTI",14,19,45,NA,NA,0,NA,"P20630",13,NA
"3199",1965,"19651EX14A",1,"EX14A","BLUTI",9,28,49,9,NA,0,NA,"54220",13,0
"3205",1965,"19651EX26",1,"EX26","BLUTI",13,23,48,NA,NA,0,NA,NA,13,NA
"3208",1965,"19651EX29A",1,"EX29A","BLUTI",14,17,43,11,NA,0,NA,"N92580",13,3
"3211",1965,"19651EX31A",1,"EX31A","BLUTI",5,26,43,NA,NA,0,NA,"H92280",13,NA
"3213",1965,"19651EX32A",1,"EX32A","BLUTI",13,18,43,11,NA,0,NA,"N34028",13,2
"3214",1965,"19651EX33",1,"EX33","BLUTI",9,48,69,NA,NA,0,NA,"N92429",13,NA
"3216",1965,"19651EX37",1,"EX37","BLUTI",11,27,50,6,NA,0,NA,"N92423",13,5
"3220",1965,"19651EX39A",1,"EX39A","BLUTI",10,25,47,10,NA,0,NA,"N19417",13,0
"3225",1965,"19651EX41",1,"EX41","BLUTI",11,26,49,NA,NA,0,NA,"N92405",13,NA
"3232",1965,"19651EX43B",1,"EX43B","BLUTI",13,25,50,13,NA,0,NA,"N92406",13,0
"3234",1965,"19651EX43E",1,"EX43E","BLUTI",8,21,41,7,NA,0,NA,"N34005",13,1
"3235",1965,"19651EX44",1,"EX44","BLUTI",13,31,56,NA,NA,0,NA,NA,13,NA
"3238",1965,"19651EX48",1,"EX48","BLUTI",13,27,52,NA,NA,0,NA,"N92416",13,NA
"3239",1965,"19651EX49",1,"EX49","BLUTI",9,29,50,9,NA,0,NA,NA,13,0
"3240",1965,"19651EX49C",1,"EX49C","BLUTI",12,26,50,12,NA,0,NA,"N92424",13,0
"3241",1965,"19651EX5",1,"EX5","BLUTI",13,24,49,13,NA,0,NA,NA,13,0
"3242",1965,"19651EX51",1,"EX51","BLUTI",11,19,42,9,NA,0,NA,"N92407",13,2
"3243",1965,"19651EX51B",1,"EX51B","BLUTI",9,34,55,NA,NA,0,NA,"N92415",13,NA
"3254",1965,"19651EX62A",1,"EX62A","BLUTI",12,28,52,12,NA,0,NA,"P20265",13,0
"3255",1965,"19651EX62B",1,"EX62B","BLUTI",11,23,46,NA,NA,0,NA,"N92404",13,NA
"3261",1965,"19651EX64B",1,"EX64B","BLUTI",7,36,55,NA,NA,0,NA,"N92414",13,NA
"3265",1965,"19651EX72A",1,"EX72A","BLUTI",14,27,53,NA,NA,0,NA,"N92428",13,NA
"3267",1965,"19651EX78",1,"EX78","BLUTI",9,27,48,9,NA,0,NA,NA,13,0
"3269",1965,"19651MP1",1,"MP1","BLUTI",14,18,44,13,NA,13,NA,"H95135",13,1
"3270",1965,"19651MP10",1,"MP10","BLUTI",7,30,49,NA,NA,0,NA,NA,13,NA
"3272",1965,"19651MP14",1,"MP14","BLUTI",7,20,39,NA,NA,0,NA,"N39231",13,NA
"3274",1965,"19651MP28",1,"MP28","BLUTI",8,26,46,NA,NA,0,NA,NA,13,NA
"3277",1965,"19651MP35",1,"MP35","BLUTI",7,22,41,NA,NA,0,NA,NA,13,NA
"3278",1965,"19651MP37",1,"MP37","BLUTI",11,17,40,9,NA,0,NA,"N92167",13,2
"3279",1965,"19651MP38",1,"MP38","BLUTI",7,42,61,NA,NA,0,NA,"P20613",13,NA
"3280",1965,"19651MP4",1,"MP4","BLUTI",8,22,42,NA,NA,0,NA,"N34838",13,NA
"3281",1965,"19651MP41",1,"MP41","BLUTI",8,21,41,7,NA,7,NA,"P20366",13,1
"3282",1965,"19651MP43",1,"MP43","BLUTI",5,24,41,NA,NA,0,NA,"P20613",13,NA
"3283",1965,"19651MP47",1,"MP47","BLUTI",10,35,57,NA,NA,0,NA,"N92741",13,NA
"3284",1965,"19651MP52",1,"MP52","BLUTI",10,22,44,NA,NA,0,NA,"N92755",13,NA
"3285",1965,"19651MP53",1,"MP53","BLUTI",5,33,50,NA,NA,0,NA,NA,13,NA
"3288",1965,"19651MP60",1,"MP60","BLUTI",3,21,36,NA,NA,0,NA,NA,13,NA
"3289",1965,"19651MP62",1,"MP62","BLUTI",6,18,36,NA,NA,0,NA,NA,13,NA
"3290",1965,"19651MP63",1,"MP63","BLUTI",5,22,39,NA,NA,0,NA,NA,13,NA
"3291",1965,"19651MP64",1,"MP64","BLUTI",7,31,50,NA,NA,0,NA,NA,13,NA
"3303",1965,"19651MP86",1,"MP86","BLUTI",5,30,47,NA,NA,0,NA,NA,13,NA
"3306",1965,"19651O10",1,"O10","BLUTI",14,18,44,13,NA,0,NA,"N73204",13,1
"3309",1965,"19651O103",1,"O103","BLUTI",13,28,53,NA,NA,0,NA,"N92685",13,NA
"3314",1965,"19651O109",1,"O109","BLUTI",9,34,55,8,NA,0,NA,"N92425",13,1
"3315",1965,"19651O11",1,"O11","BLUTI",9,29,50,4,NA,0,NA,"N82418",13,5
"3316",1965,"19651O112",1,"O112","BLUTI",10,21,43,9,NA,0,NA,NA,13,1
"3318",1965,"19651O114",1,"O114","BLUTI",14,20,46,NA,NA,0,NA,"N92408",13,NA
"3322",1965,"19651O14",1,"O14","BLUTI",11,19,42,NA,NA,0,NA,"N92256",13,NA
"3324",1965,"19651O17",1,"O17","BLUTI",5,27,44,NA,NA,0,NA,NA,13,NA
"3325",1965,"19651O18",1,"O18","BLUTI",9,28,49,6,NA,0,NA,NA,13,3
"3330",1965,"19651O3",1,"O3","BLUTI",14,21,47,10,NA,0,NA,"N92419",13,4
"3332",1965,"19651O33",1,"O33","BLUTI",11,21,44,11,NA,0,NA,NA,13,0
"3334",1965,"19651O37",1,"O37","BLUTI",9,26,47,9,NA,0,NA,"N92410",13,0
"3336",1965,"19651O38A",1,"O38A","BLUTI",11,22,45,8,NA,0,NA,"H16864",13,3
"3339",1965,"19651O40",1,"O40","BLUTI",14,31,57,NA,NA,0,NA,NA,13,NA
"3341",1965,"19651O49",1,"O49","BLUTI",10,37,59,NA,NA,0,NA,NA,13,NA
"3343",1965,"19651O50",1,"O50","BLUTI",10,21,43,8,NA,0,NA,"N92409",13,2
"3345",1965,"19651O52",1,"O52","BLUTI",11,22,45,NA,NA,0,NA,"N92420",13,NA
"3346",1965,"19651O54",1,"O54","BLUTI",12,26,50,NA,NA,0,NA,"N92067",13,NA
"3347",1965,"19651O57",1,"O57","BLUTI",2,22,36,NA,NA,0,NA,NA,13,NA
"3350",1965,"19651O60",1,"O60","BLUTI",9,39,60,NA,NA,0,NA,"N92611",13,NA
"3352",1965,"19651O62",1,"O62","BLUTI",13,19,44,NA,NA,0,NA,"N92557",13,NA
"3354",1965,"19651O69",1,"O69","BLUTI",11,22,45,10,NA,0,NA,NA,13,1
"3355",1965,"19651O70",1,"O70","BLUTI",19,22,53,NA,NA,0,NA,"N43700",13,NA
"3358",1965,"19651O75A",1,"O75A","BLUTI",14,23,49,NA,NA,0,NA,NA,13,NA
"3363",1965,"19651O84",1,"O84","BLUTI",12,27,51,12,NA,0,NA,"N34849",13,0
"3367",1965,"19651O88",1,"O88","BLUTI",11,30,53,10,NA,0,NA,"N92528",13,1
"3368",1965,"19651O9",1,"O9","BLUTI",11,23,46,NA,NA,0,NA,"P20136",13,NA
"3371",1965,"19651O92",1,"O92","BLUTI",9,34,55,9,NA,0,NA,"N92426",13,0
"3373",1965,"19651O97",1,"O97","BLUTI",14,28,54,NA,NA,0,NA,NA,13,NA
"3378",1965,"19651SW108",1,"SW108","BLUTI",11,27,50,NA,NA,0,NA,"N34286",13,NA
"3379",1965,"19651SW112",1,"SW112","BLUTI",12,26,50,NA,NA,0,NA,"N34012",13,NA
"3381",1965,"19651SW114",1,"SW114","BLUTI",12,28,52,12,NA,0,NA,"N82507",13,0
"3382",1965,"19651SW118",1,"SW118","BLUTI",13,23,48,13,NA,0,NA,NA,13,0
"3383",1965,"19651SW12",1,"SW12","BLUTI",11,26,49,NA,NA,0,NA,"N92179",13,NA
"3384",1965,"19651SW120",1,"SW120","BLUTI",13,20,45,13,NA,13,NA,"P20732",13,0
"3385",1965,"19651SW122",1,"SW122","BLUTI",12,20,44,11,NA,11,NA,"N92734",13,1
"3388",1965,"19651SW129",1,"SW129","BLUTI",11,26,49,11,NA,11,NA,"N92751",13,0
"3389",1965,"19651SW13",1,"SW13","BLUTI",12,26,50,12,NA,12,NA,"N39486",13,0
"3391",1965,"19651SW131",1,"SW131","BLUTI",7,34,53,NA,NA,0,NA,"P20232",13,NA
"3392",1965,"19651SW14",1,"SW14","BLUTI",15,24,51,15,NA,15,NA,"H52524",13,0
"3393",1965,"19651SW15",1,"SW15","BLUTI",14,25,51,14,NA,0,NA,"N92766",13,0
"3394",1965,"19651SW16",1,"SW16","BLUTI",11,26,49,11,NA,0,NA,"N92636",13,0
"3396",1965,"19651SW18",1,"SW18","BLUTI",14,17,43,14,NA,14,NA,"N92752",13,0
"3397",1965,"19651SW2",1,"SW2","BLUTI",14,26,52,NA,NA,0,NA,NA,13,NA
"3398",1965,"19651SW20",1,"SW20","BLUTI",9,26,47,7,NA,7,NA,"H16049",13,2
"3400",1965,"19651SW22",1,"SW22","BLUTI",12,20,44,12,NA,12,NA,NA,13,0
"3401",1965,"19651SW25",1,"SW25","BLUTI",13,26,51,13,NA,13,NA,"N93753",13,0
"3403",1965,"19651SW28",1,"SW28","BLUTI",8,41,61,8,NA,0,NA,"N92767",13,0
"3405",1965,"19651SW30",1,"SW30","BLUTI",11,26,49,9,NA,9,NA,"N92031",13,2
"3407",1965,"19651SW32",1,"SW32","BLUTI",11,24,47,NA,NA,0,NA,"N92733",13,NA
"3408",1965,"19651SW34",1,"SW34","BLUTI",13,24,49,13,NA,0,NA,"57284",13,0
"3410",1965,"19651SW38",1,"SW38","BLUTI",9,28,49,9,NA,0,NA,"N92732",13,0
"3411",1965,"19651SW39",1,"SW39","BLUTI",10,28,50,10,NA,10,NA,"N92765",13,0
"3414",1965,"19651SW42",1,"SW42","BLUTI",8,35,55,8,NA,0,NA,"N34746",13,0
"3417",1965,"19651SW46",1,"SW46","BLUTI",4,22,38,NA,NA,0,NA,NA,13,NA
"3418",1965,"19651SW47",1,"SW47","BLUTI",9,25,46,9,NA,0,NA,"N92737",13,0
"3420",1965,"19651SW50",1,"SW50","BLUTI",11,21,44,11,NA,11,NA,"N92184",13,0
"3423",1965,"19651SW53",1,"SW53","BLUTI",9,39,60,9,NA,0,NA,"N43288",13,0
"3426",1965,"19651SW59",1,"SW59","BLUTI",11,30,53,11,NA,0,NA,"N92183",13,0
"3428",1965,"19651SW61",1,"SW61","BLUTI",13,21,46,8,NA,8,NA,NA,13,5
"3430",1965,"19651SW63",1,"SW63","BLUTI",8,32,52,8,NA,0,NA,"N92199",13,0
"3431",1965,"19651SW64",1,"SW64","BLUTI",2,28,42,NA,NA,0,NA,NA,13,NA
"3433",1965,"19651SW67",1,"SW67","BLUTI",11,26,49,10,NA,10,NA,"N92186",13,1
"3434",1965,"19651SW69",1,"SW69","BLUTI",11,29,52,11,NA,0,NA,"H95122",13,0
"3435",1965,"19651SW7",1,"SW7","BLUTI",12,31,55,NA,NA,0,NA,"N92198",13,NA
"3436",1965,"19651SW70",1,"SW70","BLUTI",11,26,49,11,NA,11,NA,"N82738",13,0
"3439",1965,"19651SW73",1,"SW73","BLUTI",10,33,55,10,NA,0,NA,"N92754",13,0
"3440",1965,"19651SW74",1,"SW74","BLUTI",10,20,42,NA,NA,0,NA,NA,13,NA
"3441",1965,"19651SW75",1,"SW75","BLUTI",11,30,53,11,NA,0,NA,"N92302",13,0
"3442",1965,"19651SW76",1,"SW76","BLUTI",9,28,49,9,NA,9,NA,"N92739",13,0
"3445",1965,"19651SW8",1,"SW8","BLUTI",12,32,56,12,NA,0,NA,NA,13,0
"3446",1965,"19651SW80",1,"SW80","BLUTI",13,22,47,12,NA,12,NA,"N92522",13,1
"3448",1965,"19651SW81",1,"SW81","BLUTI",13,29,54,13,NA,13,NA,"N39386",13,0
"3449",1965,"19651SW85",1,"SW85","BLUTI",11,29,52,11,NA,11,NA,"P20046",13,0
"3451",1965,"19651SW89",1,"SW89","BLUTI",12,23,47,12,NA,12,NA,"N92740",13,0
"3453",1965,"19651SW91",1,"SW91","BLUTI",10,37,59,NA,NA,0,NA,"N92169",13,NA
"3454",1965,"19651SW93",1,"SW93","BLUTI",4,22,38,NA,NA,0,NA,NA,13,NA
"3455",1965,"19651SW94",1,"SW94","BLUTI",11,25,48,11,NA,11,NA,"N92692",13,0
"3456",1965,"19651SW97",1,"SW97","BLUTI",12,17,41,NA,NA,0,NA,NA,13,NA
"3458",1965,"19651W1",1,"W1","BLUTI",7,37,56,5,NA,0,NA,"N92430",13,2
"3464",1965,"19651W16A",1,"W16A","BLUTI",5,32,49,NA,NA,0,NA,"N92421",13,NA
"3465",1965,"19651W17",1,"W17","BLUTI",14,24,50,NA,NA,0,NA,"N92412",13,NA
"3469",1965,"19651W24",1,"W24","BLUTI",12,24,48,12,NA,0,NA,"N82295",13,0
"3476",1965,"19651W32",1,"W32","BLUTI",4,23,39,NA,NA,0,NA,"N92401",13,NA
"3478",1965,"19651W34",1,"W34","BLUTI",10,28,50,NA,NA,0,NA,NA,13,NA
"3481",1965,"19651W39",1,"W39","BLUTI",12,24,48,NA,NA,0,NA,"H51084",13,NA
"3483",1965,"19651W42",1,"W42","BLUTI",9,24,45,8,NA,0,NA,"N92402",13,1
"3487",1965,"19651W50",1,"W50","BLUTI",13,18,43,12,NA,0,NA,"N34048",13,1
"3489",1965,"19651W55",1,"W55","BLUTI",8,25,45,NA,NA,0,NA,NA,13,NA
"3492",1965,"19651W66",1,"W66","BLUTI",9,24,45,NA,NA,0,NA,"N92403",13,NA
"3494",1965,"19651W68",1,"W68","BLUTI",14,28,54,NA,NA,0,NA,"N92422",13,NA
"3498",1965,"19651W78",1,"W78","BLUTI",10,30,52,8,NA,0,NA,"37498",13,2
"3499",1965,"19651W8",1,"W8","BLUTI",12,28,52,NA,NA,0,NA,"N92411",13,NA
"3507",1965,"19652B125",2,"B125","BLUTI",5,48,65,5,NA,0,NA,"P20333",13,0
"3512",1965,"19652MP62",2,"MP62","BLUTI",9,34,55,9,NA,0,NA,NA,13,0
"3514",1965,"19652MP89",2,"MP89","BLUTI",8,42,62,8,NA,0,NA,NA,13,0
"3516",1965,"19652SW42",2,"SW42","BLUTI",8,36,56,8,NA,0,NA,"N34746",13,0
"3517",1965,"19652SW72",2,"SW72","BLUTI",9,46,67,9,NA,0,NA,"N92771",13,0
"3519",1966,"19661B109",1,"B109","BLUTI",11,26,49,10,NA,10,NA,"H52397",13,1
"3520",1966,"19661B111",1,"B111","BLUTI",8,37,57,8,NA,0,NA,"HC79069",13,0
"3522",1966,"19661B114",1,"B114","BLUTI",9,29,50,9,NA,9,NA,NA,13,0
"3526",1966,"19661B121",1,"B121","BLUTI",8,33,53,7,NA,7,NA,"N43416",13,1
"3527",1966,"19661B122",1,"B122","BLUTI",8,29,49,7,NA,0,NA,"H42857",13,1
"3528",1966,"19661B123",1,"B123","BLUTI",5,29,46,NA,NA,0,NA,"P20333",13,NA
"3530",1966,"19661B126",1,"B126","BLUTI",9,30,51,8,NA,8,NA,"N92340",13,1
"3531",1966,"19661B127",1,"B127","BLUTI",10,31,53,NA,NA,0,NA,NA,13,NA
"3534",1966,"19661B139",1,"B139","BLUTI",11,31,54,NA,NA,0,NA,"HC79075",13,NA
"3535",1966,"19661B140",1,"B140","BLUTI",10,33,55,10,NA,0,NA,"HC79094",13,0
"3538",1966,"19661B143",1,"B143","BLUTI",2,32,46,NA,NA,0,NA,NA,13,NA
"3539",1966,"19661B145",1,"B145","BLUTI",11,29,52,NA,NA,0,NA,"N92743",13,NA
"3541",1966,"19661B151",1,"B151","BLUTI",12,30,54,12,NA,0,NA,"N92343",13,0
"3543",1966,"19661B157",1,"B157","BLUTI",9,30,51,8,NA,0,NA,"H92804",13,1
"3544",1966,"19661B158",1,"B158","BLUTI",12,34,58,NA,NA,0,NA,"HC79074",13,NA
"3546",1966,"19661B16",1,"B16","BLUTI",11,31,54,8,NA,0,NA,NA,13,3
"3547",1966,"19661B169",1,"B169","BLUTI",12,32,56,12,NA,12,NA,"HC79072",13,0
"3549",1966,"19661B176",1,"B176","BLUTI",9,27,48,9,NA,9,NA,NA,13,0
"3550",1966,"19661B177",1,"B177","BLUTI",12,28,52,11,NA,0,NA,"N92342",13,1
"3551",1966,"19661B178",1,"B178","BLUTI",10,31,53,9,NA,9,NA,"N92105",13,1
"3553",1966,"19661B18",1,"B18","BLUTI",8,31,51,8,NA,8,NA,"N92339",13,0
"3554",1966,"19661B180",1,"B180","BLUTI",12,30,54,NA,NA,0,NA,"N92347",13,NA
"3555",1966,"19661B183",1,"B183","BLUTI",8,29,49,NA,NA,0,NA,"N92348",13,NA
"3556",1966,"19661B186",1,"B186","BLUTI",9,34,55,9,NA,0,NA,"N92742",13,0
"3559",1966,"19661B190",1,"B190","BLUTI",9,28,49,8,NA,8,NA,"P20011",13,1
"3560",1966,"19661B193",1,"B193","BLUTI",9,27,48,9,NA,9,NA,NA,13,0
"3561",1966,"19661B194",1,"B194","BLUTI",NA,32,44,NA,NA,0,NA,NA,NA,NA
"3562",1966,"19661B195",1,"B195","BLUTI",11,30,53,10,NA,10,NA,"HC79077",13,1
"3563",1966,"19661B197",1,"B197","BLUTI",11,26,49,10,NA,10,NA,"N34278",13,1
"3565",1966,"19661B200",1,"B200","BLUTI",10,28,50,8,NA,8,NA,"N92341",13,2
"3567",1966,"19661B203",1,"B203","BLUTI",8,36,56,7,NA,0,NA,"HC79071",13,1
"3568",1966,"19661B204",1,"B204","BLUTI",11,28,51,11,NA,11,NA,"N92725",13,0
"3569",1966,"19661B211",1,"B211","BLUTI",11,28,51,10,NA,10,NA,NA,13,1
"3570",1966,"19661B212",1,"B212","BLUTI",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"3572",1966,"19661B215",1,"B215","BLUTI",8,34,54,8,NA,0,NA,"HC79068",13,0
"3580",1966,"19661B224",1,"B224","BLUTI",7,34,53,7,NA,7,NA,"HC79078",13,0
"3584",1966,"19661B228",1,"B228","BLUTI",9,28,49,7,NA,7,NA,"P20274",13,2
"3587",1966,"19661B25",1,"B25","BLUTI",5,46,63,NA,NA,0,NA,NA,13,NA
"3590",1966,"19661B33",1,"B33","BLUTI",10,30,52,10,NA,10,NA,"N92345",13,0
"3593",1966,"19661B38",1,"B38","BLUTI",9,36,57,NA,NA,0,NA,NA,13,NA
"3594",1966,"19661B4",1,"B4","BLUTI",5,40,57,NA,NA,0,NA,"HC79070",13,NA
"3596",1966,"19661B42",1,"B42","BLUTI",10,31,53,10,NA,10,NA,"N92344",13,0
"3597",1966,"19661B43",1,"B43","BLUTI",7,40,59,7,NA,0,NA,"P20312",13,0
"3600",1966,"19661B49",1,"B49","BLUTI",6,33,51,NA,NA,0,NA,"N34111",13,NA
"3601",1966,"19661B52",1,"B52","BLUTI",10,34,56,10,NA,0,NA,"HC79093",13,0
"3602",1966,"19661B55",1,"B55","BLUTI",9,35,56,9,NA,0,NA,"HC79073",13,0
"3603",1966,"19661B57",1,"B57","BLUTI",9,29,50,9,NA,9,NA,"N34113",13,0
"3605",1966,"19661B64",1,"B64","BLUTI",9,31,52,9,NA,9,NA,"N92346",13,0
"3607",1966,"19661B66",1,"B66","BLUTI",8,46,66,6,NA,0,NA,NA,13,2
"3610",1966,"19661B71",1,"B71","BLUTI",13,28,53,13,NA,13,NA,"H52391",13,0
"3611",1966,"19661B75",1,"B75","BLUTI",8,40,60,NA,NA,0,NA,NA,13,NA
"3615",1966,"19661B80A",1,"B80A","BLUTI",9,34,55,9,NA,0,NA,"HC79076",13,0
"3620",1966,"19661B91",1,"B91","BLUTI",10,27,49,8,NA,8,NA,"N92338",13,2
"3623",1966,"19661C1",1,"C1","BLUTI",9,28,49,NA,NA,0,NA,"N39070",13,NA
"3626",1966,"19661C104",1,"C104","BLUTI",11,29,52,NA,NA,0,NA,NA,13,NA
"3627",1966,"19661C106",1,"C106","BLUTI",7,47,66,NA,NA,0,NA,"N92915",13,NA
"3628",1966,"19661C107",1,"C107","BLUTI",15,27,54,NA,NA,0,NA,"N92174",13,NA
"3630",1966,"19661C11",1,"C11","BLUTI",12,30,54,12,NA,0,NA,"HC79064",13,0
"3631",1966,"19661C110",1,"C110","BLUTI",10,28,50,NA,NA,0,NA,"N92332",13,NA
"3632",1966,"19661C112",1,"C112","BLUTI",10,16,38,10,NA,10,NA,"N92748",13,0
"3634",1966,"19661C114",1,"C114","BLUTI",NA,37,49,NA,NA,0,NA,NA,NA,NA
"3635",1966,"19661C115",1,"C115","BLUTI",12,18,42,NA,NA,0,NA,"N92578",13,NA
"3636",1966,"19661C118",1,"C118","BLUTI",11,25,48,11,NA,0,NA,"N92334",13,0
"3637",1966,"19661C122",1,"C122","BLUTI",13,25,50,13,NA,0,NA,"N92333",13,0
"3639",1966,"19661C124",1,"C124","BLUTI",12,28,52,NA,NA,0,NA,"N92335",13,NA
"3644",1966,"19661C130",1,"C130","BLUTI",13,24,49,NA,NA,0,NA,NA,13,NA
"3645",1966,"19661C132",1,"C132","BLUTI",11,27,50,11,NA,11,NA,NA,13,0
"3646",1966,"19661C134",1,"C134","BLUTI",15,17,44,NA,NA,0,NA,"N39121",13,NA
